2025. 6. 18. 19:26,토마토,치킨스테이크,닭볶음탕,문어슬라이스,코다리(무라),오징어숏다리,막창(하남),비엔나소시지,우유,짜요딸기,짜요포도,짜요복숭아,냉콩국물,용가리치킨
3879,,,,,,,2,,,,,,,
1003,,,1,,,,,,,,,,,
572,,2,,,,,,,,,,,,1
3219,,2,,,,,,,,,,,,
3397,,,1,,1,,2,,,,,,,
4759,1,,,,,,,,,,,,,
2578,1,,,,,2,2,,,,,,,
4012,,,,,,,1,,,,,,1,
9920,,,,,,,,,,,,,1,
7901,1,,,1,,,2,,1,,,,,
1757,,,,,,,2,,,,,,,
3460,,,,,,,,,,1,,,,
4928,,,,,,,,,,1,1,1,,
7064,,2,,,,,,1,,1,1,1,,
5875,,,,,,,,,,,,,1,1
7360,,,,,,,2,,,,,,,
3514,,,,,1,,,1,,,,,1,
1069,1,,,1,,,1,,,1,1,1,,
3155,1,,,,,,,,,,,,,
8430,,1,,,,1,,,,1,1,1,,
1696,1,1,,,,,,,,1,,,,1
3369,1,,,,,1,,,,,,,,
1254,,,,,1,,,1,,2,2,1,,
8886,1,2,,,,,,,,1,,,,
8654,,,,,2,2,,,,,,,,
5695,1,,,,,,,,,,,,,
5825,,3,,,,,2,,,,,,,
2020,,,,,,1,2,,,2,,,,1
6625,1,,,,,,,,,,1,,,
0000/,,,,,,4,,,,,,,,
333,,2,,,,4,,,,,,,,
5687,,2,,,,,,,,,,,,
4841,,,,,,,,,,,,,1,
444,,,1,,,,,,,1,1,,,
5969,,,,,,,,1,,,1,1,,1
4755,1,,,1,,,1,,1,,,,,
9981,1,2,,,,,,,,1,,1,,
6100,,,1,,,,2,,,,,,1,
482,1,,,,,,,,1,,,,,
7652,1,,,,,2,,,,,,,,
4107,1,,,,,,,1,,,,,,
8489,,1,,,,,,,,,1,1,,
335,,2,,,,1,,,,,,,,
2925,,1,,,,,,,,,,,,
666,,1,,,,,,,,1,1,1,,1
3532,1,,,,,1,,,,,,,,1
2002,1,,,,,,,,,,,2,,
2994,,2,,,,,,,,,,,,
8237,,1,,1,,,2,,,,,,,
8448,1,1,,2,,,,,,,,,,
1511,,,,,,,,,1,,,,,1
5139,1,,,,,,,,1,1,1,1,,
9739,,,,,,2,,,,,,,,
7688,,2,,,,1,2,,1,,,,,
3098,,,,,,,1,1,,,,,,
8253,,2,,,,,,,,,,,,
9597,1,,,,,,2,,,,,,1,
9645,,,,,,1,,,,2,,,,
1014,,,,,,,2,,,,,,1,
4085,,,,,,2,,,1,,,,,
8337,,,,,,,,,,5,1,,,
7978,1,,1,,,,,,1,1,1,,,
4297,,,1,,1,,1,,,,,,,
3024,2,1,,,,,,,1,,,,1,
217,,,,,,,1,,1,,,,,
824,,,,1,,,4,,,,,,,
4872,1,1,,,,1,,,,,,,,
5212,1,1,,,,1,,,,1,,,,
5244,,1,1,,,,,,,3,,,,
4646,,2,,,,,1,,,,,,,
6421,,1,,,,,,,1,,,,,
2225,,2,,1,,1,1,,,,,,,
2137,,,,,,,,,,1,1,1,,
3812,,,,1,,,1,,,,,,,
5575,,1,,,,,,1,,1,1,1,,
166,1,,,,,,,,,,,,0,
3487,1,,,,,,,,,,,,,1
7782,,,,,,,,,,,,,,2
7859,1,1,1,1,,,,,,,,,,
6170,1,1,,,,,,,,,,,,
4843,1,1,,,,,,1,,,1,,,
7111,,1,,,,,,,,1,,,,1
5736,,,,,,,,1,1,1,,,1,1
1151,,2,,,2,,,2,,,,,,2
9251,,,,,,,,,,2,2,2,1,
2823,1,,,,,,,,,,,,,
1393,,,,,,,,,1,,,,,
9169,1,,,,,1,,,,,,,,
7270,1,3,1,,,,,1,1,2,2,2,,
2072,,,1,,,,,,,1,,,,1
6312,,1,,,,1,,,1,,,,,
6755,1,1,,1,,,,,,,,,,
9173,1,1,1,,,,,,,,,,,
9147,,,,,,,1,,,,,,,
9054,1,2,,,,,,1,,,,,,
188,1,,1,,,,,,,,1,,,
9691,,,,,,,2,2,,1,,,,
3607,,1,,,,,,,,,,,,
8485,,,1,,,,,,,1,1,1,,
7021,,,,,,,,,,,1,,,
5371,1,1,,,,,,,,,,,,
9493,,1,,,,,,,,,1,,,
9987,,,,,,2,,,,,,,,
4581,,,,,,,,,,1,1,1,,
1673,1,2,1,,,1,,,1,,,,,
6646,,,,,,1,1,,,,,,,
9099,,,,2,,,,,,,,,,
8590,1,2,,,,1,,,,,,,,
3814,1,,1,,,,,,,,,,1,
6353,,,2,,,,,,,,,,,
522,,,,,,,2,,,,,,,
9687,,,,,,,,,1,,,,,
290,2,,,2,,,,,3,,,,,
5244,,1,1,,,,,,,3,,,,
5600,,,,1,,,,,,,,,,
125,,,,,,,,,1,2,,,,
6165,,,,,,,,,,,,,1,
5180,,,,,,,1,,,,,,,
9682,1,,,,,,,,,,,,,
1256,,,,,,1,,,,,,,,
8748,1,,,,,,,,,,,,,
7908,,2,,,,,,,,,,,,
9445,,2,,,,,,,,,,,,
1442,1,,,,,,2,,,,,,,1
1866,,,,,,,,,,1,1,1,,
5558,,,,,,1,,,,1,1,1,,
1098,,,,,,,,,,1,1,1,,
2318,2,,,,,,2,,,,,,,
2603,,,,,,,,,,2,2,2,,
2094,,,,,,,,,,,,,1,
5965,1,,,,,,,,1,,,,,
6866,,1,,,,,,1,,,,,,
6904,,,,,,,,,,1,1,1,,1
3091,1,,,,,,,1,,,,,,
9654,,,,,,,,,,2,,,,
2273,,2,,,2,1,,,,1,1,1,,1
1990,,2,,,,3,,,,2,1,2,,
5746,1,2,,,2,,,,,,,,,
617,,,,,,,,,,1,,1,,
130,,,1,,,,,,,,,,1,
889,,,1,,,,,,,,,,,
5132,,2,,,,,,,,,,,,
515,1,,,,,,,,1,,,,,1
2307,2,,,,,,,,,,,,,
1111,1,2,,,,,,1,,1,1,1,,
6288,2,1,,,,,,,,2,3,2,,
9507,1,,,,,,,,,1,1,1,,
6538,,1,,,,,,1,,,,,,
4936,,,1,1,,,,,,,,,,
1380,,,,,,,,,1,,,,,
6424,1,,,,,,,,,,,,,
725,1,2,,,,,,,,,,,,
9731,1,,,,,,,1,,1,,1,,
5456,,1,,,,1,,,,,,,,
3805,,1,,,,,,,,,,,,
8552,,2,,,,,,1,,,,,,
3832,,1,,,,,,,,,,,,
8705,,,,,,,,,1,,,,,
6855,,,,,,,,,,1,1,2,,
3654,1,,,,,1,,1,,1,1,1,,1
1987,1,,1,,1,,,1,1,1,1,1,1,2
5656,,2,,,,,,,,,,,,
152,,,1,,,,2,,,,,,,1
